ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP,IECC_Climate_Zone,Lockout_Setpoint
36204,Calhoun County,AL,01015,H1,3A,69.0
35096,Calhoun County,AL,01015,H1,3A,69.0
36279,Calhoun County,AL,01015,H1,3A,69.0
36205,Calhoun County,AL,01015,H1,3A,69.0
36260,Calhoun County,AL,01015,H1,3A,69.0
36271,Calhoun County,AL,01015,H1,3A,69.0
36272,Calhoun County,AL,01015,H1,3A,69.0
36201,Calhoun County,AL,01015,H1,3A,69.0
36203,Calhoun County,AL,01015,H1,3A,69.0
36207,Calhoun County,AL,01015,H1,3A,69.0
36265,Calhoun County,AL,01015,H1,3A,69.0
36202,Calhoun County,AL,01015,H1,3A,69.0
36257,Calhoun County,AL,01015,H1,3A,69.0
36253,Calhoun County,AL,01015,H1,3A,69.0
36254,Calhoun County,AL,01015,H1,3A,69.0
35905,Calhoun County,AL,01015,H1,3A,69.0
36250,Calhoun County,AL,01015,H1,3A,69.0
36277,Calhoun County,AL,01015,H1,3A,69.0
36852,Chambers County,AL,01017,H1,3A,69.0
36855,Chambers County,AL,01017,H1,3A,69.0
36879,Chambers County,AL,01017,H1,3A,69.0
36274,Chambers County,AL,01017,H1,3A,69.0
36862,Chambers County,AL,01017,H1,3A,69.0
36863,Chambers County,AL,01017,H1,3A,69.0
36801,Chambers County,AL,01017,H1,3A,69.0
36854,Chambers County,AL,01017,H1,3A,69.0
36276,Chambers County,AL,01017,H1,3A,69.0
36850,Chambers County,AL,01017,H1,3A,69.0
35973,Cherokee County,AL,01019,H1,3A,69.0
35959,Cherokee County,AL,01019,H1,3A,69.0
35901,Cherokee County,AL,01019,H1,3A,69.0
35984,Cherokee County,AL,01019,H1,3A,69.0
36272,Cherokee County,AL,01019,H1,3A,69.0
35967,Cherokee County,AL,01019,H1,3A,69.0
35961,Cherokee County,AL,01019,H1,3A,69.0
35903,Cherokee County,AL,01019,H1,3A,69.0
36275,Cherokee County,AL,01019,H1,3A,69.0
35960,Cherokee County,AL,01019,H1,3A,69.0
35983,Cherokee County,AL,01019,H1,3A,69.0
36006,Chilton County,AL,01021,H1,3A,69.0
35115,Chilton County,AL,01021,H1,3A,69.0
35040,Chilton County,AL,01021,H1,3A,69.0
36790,Chilton County,AL,01021,H1,3A,69.0
36758,Chilton County,AL,01021,H1,3A,69.0
36793,Chilton County,AL,01021,H1,3A,69.0
36750,Chilton County,AL,01021,H1,3A,69.0
36051,Chilton County,AL,01021,H1,3A,69.0
35046,Chilton County,AL,01021,H1,3A,69.0
35045,Chilton County,AL,01021,H1,3A,69.0
35171,Chilton County,AL,01021,H1,3A,69.0
36792,Chilton County,AL,01021,H1,3A,69.0
35085,Chilton County,AL,01021,H1,3A,69.0
36091,Chilton County,AL,01021,H1,3A,69.0
36908,Choctaw County,AL,01023,H1,3A,69.0
36913,Choctaw County,AL,01023,H1,3A,69.0
36919,Choctaw County,AL,01023,H1,3A,69.0
36921,Choctaw County,AL,01023,H1,3A,69.0
36904,Choctaw County,AL,01023,H1,3A,69.0
36912,Choctaw County,AL,01023,H1,3A,69.0
36910,Choctaw County,AL,01023,H1,3A,69.0
36916,Choctaw County,AL,01023,H1,3A,69.0
36922,Choctaw County,AL,01023,H1,3A,69.0
36558,Choctaw County,AL,01023,H1,3A,69.0
36915,Choctaw County,AL,01023,H1,3A,69.0
36436,Clarke County,AL,01025,H1,3A,69.0
36751,Clarke County,AL,01025,H1,3A,69.0
36446,Clarke County,AL,01025,H1,3A,69.0
36524,Clarke County,AL,01025,H1,3A,69.0
36784,Clarke County,AL,01025,H1,3A,69.0
36451,Clarke County,AL,01025,H1,3A,69.0
36540,Clarke County,AL,01025,H1,3A,69.0
36482,Clarke County,AL,01025,H1,3A,69.0
36727,Clarke County,AL,01025,H1,3A,69.0
36782,Clarke County,AL,01025,H1,3A,69.0
36545,Clarke County,AL,01025,H1,3A,69.0
36251,Clay County,AL,01027,H1,3A,69.0
36267,Clay County,AL,01027,H1,3A,69.0
35082,Clay County,AL,01027,H1,3A,69.0
35160,Clay County,AL,01027,H1,3A,69.0
35072,Clay County,AL,01027,H1,3A,69.0
35089,Clay County,AL,01027,H1,3A,69.0
36266,Clay County,AL,01027,H1,3A,69.0
36255,Clay County,AL,01027,H1,3A,69.0
36256,Clay County,AL,01027,H1,3A,69.0
36258,Clay County,AL,01027,H1,3A,69.0
36276,Clay County,AL,01027,H1,3A,69.0
36268,Clay County,AL,01027,H1,3A,69.0
36273,Cleburne County,AL,01029,H1,3A,69.0
36269,Cleburne County,AL,01029,H1,3A,69.0
36207,Cleburne County,AL,01029,H1,3A,69.0
36268,Cleburne County,AL,01029,H1,3A,69.0
36258,Cleburne County,AL,01029,H1,3A,69.0
36262,Cleburne County,AL,01029,H1,3A,69.0
36261,Cleburne County,AL,01029,H1,3A,69.0
36264,Cleburne County,AL,01029,H1,3A,69.0
36272,Cleburne County,AL,01029,H1,3A,69.0
36322,Coffee County,AL,01031,H1,3A,69.0
36453,Coffee County,AL,01031,H1,3A,69.0
36079,Coffee County,AL,01031,H1,3A,69.0
36351,Coffee County,AL,01031,H1,3A,69.0
36477,Coffee County,AL,01031,H1,3A,69.0
36346,Coffee County,AL,01031,H1,3A,69.0
36311,Coffee County,AL,01031,H1,3A,69.0
36010,Coffee County,AL,01031,H1,3A,69.0
36318,Coffee County,AL,01031,H1,3A,69.0
36034,Coffee County,AL,01031,H1,3A,69.0
36316,Coffee County,AL,01031,H1,3A,69.0
36009,Coffee County,AL,01031,H1,3A,69.0
36330,Coffee County,AL,01031,H1,3A,69.0
36323,Coffee County,AL,01031,H1,3A,69.0
36467,Coffee County,AL,01031,H1,3A,69.0
36360,Coffee County,AL,01031,H1,3A,69.0
35616,Colbert County,AL,01033,H1,3A,69.0
35654,Colbert County,AL,01033,H1,3A,69.0
35646,Colbert County,AL,01033,H1,3A,69.0
35653,Colbert County,AL,01033,H1,3A,69.0
35582,Colbert County,AL,01033,H1,3A,69.0
35674,Colbert County,AL,01033,H1,3A,69.0
35661,Colbert County,AL,01033,H1,3A,69.0
35672,Colbert County,AL,01033,H1,3A,69.0
35660,Colbert County,AL,01033,H1,3A,69.0
