ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP,IECC_Climate_Zone,Lockout_Setpoint
35213,Jefferson County,AL,01073,H1,3A,69.0
35228,Jefferson County,AL,01073,H1,3A,69.0
35063,Jefferson County,AL,01073,H1,3A,69.0
35255,Jefferson County,AL,01073,H1,3A,69.0
35146,Jefferson County,AL,01073,H1,3A,69.0
35249,Jefferson County,AL,01073,H1,3A,69.0
35064,Jefferson County,AL,01073,H1,3A,69.0
35005,Jefferson County,AL,01073,H1,3A,69.0
35021,Jefferson County,AL,01073,H1,3A,69.0
35036,Jefferson County,AL,01073,H1,3A,69.0
35285,Jefferson County,AL,01073,H1,3A,69.0
35080,Jefferson County,AL,01073,H1,3A,69.0
35094,Jefferson County,AL,01073,H1,3A,69.0
35068,Jefferson County,AL,01073,H1,3A,69.0
35071,Jefferson County,AL,01073,H1,3A,69.0
35118,Jefferson County,AL,01073,H1,3A,69.0
